,RSI,RSI,RSI,RSI,RSI,RSI,RSI,RSI,RSI,RSI
,A,AAL,AAP,AAPL,ABBV,ABC,ABMD,ABT,ACN,ADBE
time,,,,,,,,,,
2020-10-19 00:00:00-04:00,62.292672685282405,32.079207920792086,39.689171122994615,52.80498664292074,41.18866620594327,49.15405164737307,35.07413353480025,56.48553900087644,47.107438016528924,45.53137208004465
2020-10-20 00:00:00-04:00,60.6313020604998,34.1650671785029,41.45822245875473,52.80498664292074,45.164039198977385,47.0683661645423,35.87014017455698,49.10302409021017,50.427522382054136,52.10970464135022
2020-10-21 00:00:00-04:00,62.51758087201126,37.74313601572923,41.42705005324806,57.231511808308916,42.399999999999935,53.57425481403324,47.371638141809306,43.66453965360073,48.15361890694239,48.219775860359036
2020-10-22 00:00:00-04:00,66.44951140065143,37.476052232578375,42.06443914081147,61.516283749417504,44.183006535947705,56.88388045075943,50.21888163872137,49.334990677439414,43.75251644074615,52.61335353316743
2020-10-23 00:00:00-04:00,62.300319488817884,37.02322289074624,46.9978165938864,61.756373937677054,36.83431952662719,55.74553683681163,45.963958040704114,48.52686308492199,44.59524963645172,51.13268608414238
2020-10-26 00:00:00-04:00,61.90476190476191,34.931031825537495,40.709219858156004,60.930232558139544,41.778523489932844,54.37821927888157,50.93819355706502,49.27862342819324,34.66821965674353,47.873785393375826
2020-10-27 00:00:00-04:00,59.11413969335606,28.991095198751488,40.57108863771563,60.151802656546494,38.30645161290322,51.02416570770997,49.90729932019498,52.05544933078394,32.64938550642744,41.42991312514673
2020-10-28 00:00:00-04:00,49.087893864013274,31.6175281625613,38.777683134582595,50.608660945918984,38.14739849982142,38.363171355498714,46.6891164536697,52.41379310344827,30.5021234074444,33.6640274730516
2020-10-29 00:00:00-04:00,44.23814328960643,34.274465109050404,41.50269695358202,53.151618398637126,36.930921451984915,39.8936170212766,32.125473228772336,54.30721677193929,29.310125778173052,29.055294837788193
2020-10-30 00:00:00-04:00,38.41886269070733,31.821287663382474,43.286440303454306,34.941176470588225,55.775942793904825,40.31830238726789,33.79716685470729,50.310559006211186,27.698005327788966,24.203937222171827
