298,XLI,LUV,SOUTHWEST AIRLINES CO COMMON STOCK USD1.0
299,XLI,CARR,CARRIER GLOBAL CORP COMMON STOCK USD.01
300,XLI,SWK,STANLEY BLACK + DECKER INC COMMON STOCK USD2.5
301,XLI,TDG,TRANSDIGM GROUP INC COMMON STOCK USD.01
302,XLI,OTIS,OTIS WORLDWIDE CORP COMMON STOCK USD.01
303,XLI,PCAR,PACCAR INC COMMON STOCK USD1.0
304,XLI,AME,AMETEK INC COMMON STOCK USD.01
305,XLI,FAST,FASTENAL CO COMMON STOCK USD.01
306,XLI,ROK,ROCKWELL AUTOMATION INC COMMON STOCK USD1.0
307,XLI,CTAS,CINTAS CORP COMMON STOCK
308,XLI,EFX,EQUIFAX INC COMMON STOCK USD1.25
309,XLI,DAL,DELTA AIR LINES INC COMMON STOCK USD.0001
310,XLI,VRSK,VERISK ANALYTICS INC COMMON STOCK USD.001
311,XLI,KSU,KANSAS CITY SOUTHERN COMMON STOCK USD.01
312,XLI,CPRT,COPART INC COMMON STOCK
313,XLI,ODFL,OLD DOMINION FREIGHT LINE COMMON STOCK USD.1
314,XLI,FTV,FORTIVE CORP COMMON STOCK USD.01
315,XLI,URI,UNITED RENTALS INC COMMON STOCK USD.01
316,XLI,RSG,REPUBLIC SERVICES INC COMMON STOCK USD.01
317,XLI,DOV,DOVER CORP COMMON STOCK USD1.0
318,XLI,XYL,XYLEM INC COMMON STOCK
319,XLI,GWW,WW GRAINGER INC COMMON STOCK USD.5
320,XLI,GNRC,GENERAC HOLDINGS INC COMMON STOCK USD.01
321,XLI,EXPD,EXPEDITORS INTL WASH INC COMMON STOCK USD.01
322,XLI,IR,INGERSOLL RAND INC COMMON STOCK USD.01
323,XLI,J,JACOBS ENGINEERING GROUP INC COMMON STOCK USD1.0
324,XLI,IEX,IDEX CORP COMMON STOCK USD.01
325,XLI,MAS,MASCO CORP COMMON STOCK USD1.0
326,XLI,UAL,UNITED AIRLINES HOLDINGS INC COMMON STOCK USD.01
327,XLI,TDY,TELEDYNE TECHNOLOGIES INC COMMON STOCK USD.01
328,XLI,FBHS,FORTUNE BRANDS HOME + SECURI COMMON STOCK USD.01
329,XLI,TXT,TEXTRON INC COMMON STOCK USD.125
330,XLI,JBHT,HUNT (JB) TRANSPRT SVCS INC COMMON STOCK USD.01
331,XLI,WAB,WABTEC CORP COMMON STOCK USD.01
332,XLI,LDOS,LEIDOS HOLDINGS INC COMMON STOCK USD.0001
333,XLI,AAL,AMERICAN AIRLINES GROUP INC COMMON STOCK
334,XLI,PWR,QUANTA SERVICES INC COMMON STOCK USD.00001
335,XLI,CHRW,C.H. ROBINSON WORLDWIDE INC COMMON STOCK USD.1
336,XLI,SNA,SNAP ON INC COMMON STOCK USD1.0
337,XLI,HWM,HOWMET AEROSPACE INC COMMON STOCK
338,XLI,ALLE,ALLEGION PLC COMMON STOCK USD.01
339,XLI,PNR,PENTAIR PLC COMMON STOCK USD.01
340,XLI,RHI,ROBERT HALF INTL INC COMMON STOCK USD.001
341,XLI,AOS,SMITH (A.O.) CORP COMMON STOCK USD1.0
342,XLI,NLSN,NIELSEN HOLDINGS PLC COMMON STOCK EUR.07
343,XLI,HII,HUNTINGTON INGALLS INDUSTRIE COMMON STOCK USD.01
344,XLI,ROL,ROLLINS INC COMMON STOCK USD1.0
345,XLI,ALK,ALASKA AIR GROUP INC COMMON STOCK USD.01
,,,
,,,
,,XLB,Materials
,,,
346,XLB,LIN,LINDE PLC COMMON STOCK EUR.001
347,XLB,SHW,SHERWIN WILLIAMS CO/THE COMMON STOCK USD1.0
348,XLB,APD,AIR PRODUCTS + CHEMICALS INC COMMON STOCK USD1.0
349,XLB,FCX,FREEPORT MCMORAN INC COMMON STOCK USD.1
350,XLB,ECL,ECOLAB INC COMMON STOCK USD1.0
351,XLB,DOW,DOW INC COMMON STOCK USD.01
352,XLB,NEM,NEWMONT CORP COMMON STOCK USD1.6
353,XLB,DD,DUPONT DE NEMOURS INC COMMON STOCK USD.01
354,XLB,PPG,PPG INDUSTRIES INC COMMON STOCK USD1.67
355,XLB,IFF,INTL FLAVORS + FRAGRANCES COMMON STOCK USD.125
356,XLB,CTVA,CORTEVA INC COMMON STOCK USD.01
357,XLB,BLL,BALL CORP COMMON STOCK
358,XLB,LYB,LYONDELLBASELL INDU CL A COMMON STOCK EUR.04
359,XLB,NUE,NUCOR CORP COMMON STOCK USD.4
360,XLB,VMC,VULCAN MATERIALS CO COMMON STOCK USD1.0
361,XLB,IP,INTERNATIONAL PAPER CO COMMON STOCK USD1.0
362,XLB,MLM,MARTIN MARIETTA MATERIALS COMMON STOCK USD.01
363,XLB,ALB,ALBEMARLE CORP COMMON STOCK USD.01
364,XLB,AMCR,AMCOR PLC COMMON STOCK USD.01
365,XLB,CE,CELANESE CORP COMMON STOCK USD.0001
366,XLB,AVY,AVERY DENNISON CORP COMMON STOCK USD1.0
367,XLB,EMN,EASTMAN CHEMICAL CO COMMON STOCK USD.01
368,XLB,FMC,FMC CORP COMMON STOCK USD.1
369,XLB,WRK,WESTROCK CO COMMON STOCK
370,XLB,PKG,PACKAGING CORP OF AMERICA COMMON STOCK USD.01
371,XLB,MOS,MOSAIC CO/THE COMMON STOCK USD.01
372,XLB,CF,CF INDUSTRIES HOLDINGS INC COMMON STOCK USD.01
373,XLB,SEE,SEALED AIR CORP COMMON STOCK USD.1
,,,
,,LRE,Real EstateX
,,,
374,LRE,AMT,AMERICAN TOWER CORP REIT USD.01
375,LRE,PLD,PROLOGIS INC REIT USD.01
376,LRE,CCI,CROWN CASTLE INTL CORP REIT USD.01
377,LRE,EQIX,EQUINIX INC REIT USD.001
378,LRE,DLR,DIGITAL REALTY TRUST INC REIT USD.01
379,LRE,PSA,PUBLIC STORAGE REIT USD.1
380,LRE,SPG,SIMON PROPERTY GROUP INC REIT USD.0001
381,LRE,SBAC,SBA COMMUNICATIONS CORP REIT USD.01
382,LRE,WELL,WELLTOWER INC REIT USD1.0
383,LRE,WY,WEYERHAEUSER CO REIT USD1.25
384,LRE,CBRE,CBRE GROUP INC   A COMMON STOCK USD.01
385,LRE,AVB,AVALONBAY COMMUNITIES INC REIT USD.01
386,LRE,O,REALTY INCOME CORP REIT USD1.0
387,LRE,EQR,EQUITY RESIDENTIAL REIT USD.01
388,LRE,ARE,ALEXANDRIA REAL ESTATE EQUIT REIT USD.01
389,LRE,VTR,VENTAS INC REIT USD.25
